x,y,GRID,GID,Lon,Lat
-121.7916677,38.95833375,1167,I01167,-121.792,38.958
-121.7916677,39.04166708,1168,I01168,-121.792,39.042
-121.7916677,39.12500041,1169,I01169,-121.792,39.125
-121.7916677,39.54166706,1174,I01174,-121.792,39.542
-121.7916677,39.62500039,1175,I01175,-121.792,39.625
-121.7916677,39.70833372,1176,I01176,-121.792,39.708
-121.7083344,37.87500046,1210,I01210,-121.708,37.875
-121.7083344,37.95833379,1211,I01211,-121.708,37.958
-121.7083344,38.20833378,1213,I01213,-121.708,38.208
-121.7083344,38.29166711,1214,I01214,-121.708,38.292
-121.7083344,38.37500044,1215,I01215,-121.708,38.375
-121.7083344,38.45833377,1216,I01216,-121.708,38.458
-121.7083344,38.5416671,1217,I01217,-121.708,38.542
-121.7083344,38.62500043,1218,I01218,-121.708,38.625
-121.7083344,38.70833376,1219,I01219,-121.708,38.708
-121.7083344,38.79166709,1220,I01220,-121.708,38.792
-121.7083344,38.87500042,1221,I01221,-121.708,38.875
-121.7083344,38.95833375,1222,I01222,-121.708,38.958
-121.7083344,39.04166708,1223,I01223,-121.708,39.042
-121.7083344,39.12500041,1224,I01224,-121.708,39.125
-121.7083344,39.20833374,1225,I01225,-121.708,39.208
-121.7083344,39.29166707,1226,I01226,-121.708,39.292
-121.7083344,39.3750004,1227,I01227,-121.708,39.375
-121.7083344,39.54166706,1229,I01229,-121.708,39.542
-121.7083344,39.62500039,1230,I01230,-121.708,39.625
-121.6250011,37.79166713,1267,I01267,-121.625,37.792
-121.6250011,37.87500046,1268,I01268,-121.625,37.875
-121.6250011,37.95833379,1269,I01269,-121.625,37.958
-121.6250011,38.20833378,1272,I01272,-121.625,38.208
-121.6250011,38.29166711,1273,I01273,-121.625,38.292
-121.6250011,38.37500044,1274,I01274,-121.625,38.375
-121.6250011,38.45833377,1275,I01275,-121.625,38.458
-121.6250011,38.5416671,1276,I01276,-121.625,38.542
-121.6250011,38.62500043,1277,I01277,-121.625,38.625
-121.6250011,38.70833376,1278,I01278,-121.625,38.708
-121.6250011,38.79166709,1279,I01279,-121.625,38.792
-121.6250011,38.87500042,1280,I01280,-121.625,38.875
-121.6250011,38.95833375,1281,I01281,-121.625,38.958
-121.6250011,39.04166708,1282,I01282,-121.625,39.042
-121.6250011,39.20833374,1284,I01284,-121.625,39.208
-121.5416678,37.7083338,1321,I01321,-121.542,37.708
-121.5416678,37.79166713,1322,I01322,-121.542,37.792
-121.5416678,37.87500046,1323,I01323,-121.542,37.875
-121.5416678,37.95833379,1324,I01324,-121.542,37.958
-121.5416678,38.20833378,1327,I01327,-121.542,38.208
