p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
405 I02404,I02404,0.63,-8.85
406 I02405,I02405,4.6,-17.09
407 I02406,I02406,9.61,-9.96
408 I02407,I02407,8.99,-8.8
409 I02453,I02453,9.49,-4.88
410 I02454,I02454,-4.87,-1.45
411 I02455,I02455,7.46,-3.74
412 I02456,I02456,9.64,-15.61
413 I02480,I02480,9.47,-15.8
414 I02481,I02481,11.68,-2.2
415 I02482,I02482,7.08,-8.44
416 I02483,I02483,5.66,-7.68
417 I02484,I02484,7.59,-5.29
418 I02485,I02485,6.04,-8.64
419 I02486,I02486,6.09,-9.82
420 I02488,I02488,8.85,-10.32
421 I02532,I02532,-2.25,-2.5
422 I02533,I02533,6.88,-4.66
423 I02534,I02534,6.66,-4.63
424 I02535,I02535,-2.87,-2.05
425 I02560,I02560,6.95,-9.67
426 I02562,I02562,9.61,-15.87
427 I02563,I02563,9.78,-9.51
428 I02564,I02564,6.56,-8.51
429 I02565,I02565,8,-15.85
430 I02566,I02566,1.33,-9.6
431 I02567,I02567,5.79,-2.17
432 I02568,I02568,1.47,-9.7
433 I02569,I02569,14.27,-25.1
434 I02608,I02608,9.35,-15.83
435 I02609,I02609,5.16,-4.32
436 I02610,I02610,6.94,-2.41
437 I02611,I02611,5.25,-4.32
438 I02640,I02640,-0.25,-9.57
439 I02641,I02641,5.64,-8.77
440 I02642,I02642,10.86,-2.07
441 I02643,I02643,10.09,-9.45
442 I02644,I02644,3.22,-15.07
443 I02645,I02645,8.59,-16.75
444 I02646,I02646,2.89,-3.61
445 I02647,I02647,3.17,-16.78
446 I02648,I02648,1.95,-10.01
447 I02649,I02649,1.71,-15.84
448 I02682,I02682,-11.43,-3.52
449 I02683,I02683,-8.74,-47.57
450 I02686,I02686,15.28,-4.13
451 I02687,I02687,9.12,-47.92
452 I02688,I02688,-6.39,-46.11
453 I02691,I02691,5.79,-4.42
454 I02692,I02692,-3.87,-2.04
455 I02693,I02693,-7.97,-3.59
456 I02694,I02694,7.83,-15.69
457 I02697,I02697,29.74,-3.7
458 I02722,I02722,10.17,-8.98
459 I02723,I02723,10.98,-1.58
460 I02724,I02724,10.08,-2.05
461 I02725,I02725,6.79,-10.05
462 I02726,I02726,7.94,-10.18
463 I02727,I02727,1,-15.65
464 I02728,I02728,2.05,-14.95
465 I02761,I02761,-6.09,-3.18
466 I02762,I02762,12.92,-3.4
467 I02763,I02763,11.89,-4.92
468 I02764,I02764,-3.22,-3.53
469 I02767,I02767,4.01,-3.74
470 I02768,I02768,-3.85,-1.98
471 I02769,I02769,-10.85,0.38
472 I02770,I02770,2.61,-11.88
473 I02773,I02773,12.24,-4.32
474 I02774,I02774,17.73,-48.07
475 I02776,I02776,14.01,-5.57
476 I02777,I02777,14.09,-5.59
477 I02778,I02778,-7.38,-3.89
478 I02791,I02791,1.01,-14.74
479 I02796,I02796,7.32,-1.03
480 I02797,I02797,7.93,-1.53
481 I02798,I02798,-4.18,-13.85
482 I02799,I02799,5.83,-8.73
483 I02800,I02800,-0.69,-9.1
484 I02801,I02801,0.81,-14.06
485 I02802,I02802,1.28,-8.81
486 I02804,I02804,5.62,-15.76
487 I02835,I02835,-11.67,0.23
488 I02836,I02836,14.36,-3.59
489 I02837,I02837,10.3,-3.21
490 I02838,I02838,-11.69,-47.25
491 I02839,I02839,-12.66,-2.84
492 I02841,I02841,9.38,-15.64
493 I02842,I02842,5.63,-14.66
494 I02843,I02843,-0.25,-3.2
495 I02844,I02844,1.52,-10.56
496 I02847,I02847,-11.7,-3.01
497 I02848,I02848,-5.4,-3.49
498 I02850,I02850,11.13,-17.8
499 I02851,I02851,8.82,-15.63
500 I02852,I02852,10.39,-23.2
501 I02853,I02853,2.14,-1.38
502 I02854,I02854,10.74,-15.02
503 I02856,I02856,9.73,-14.77
504 I02857,I02857,-12.14,-46.02
505 I02873,I02873,8.06,-8.94
506 I02876,I02876,8.25,-2.16
507 I02877,I02877,6.28,-13.88
508 I02878,I02878,-2.73,-2.54
509 I02879,I02879,7.76,-9.63
510 I02880,I02880,1.44,-2.98
511 I02881,I02881,2.75,-11.24
512 I02882,I02882,2.69,-11.39
513 I02883,I02883,6.25,-46.07
514 I02922,I02922,11.71,-3.4
515 I02923,I02923,18.18,-3.99
516 I02924,I02924,18.88,-2.71
517 I02925,I02925,-12.44,-2.86
518 I02933,I02933,-10.6,-3.37
519 I02934,I02934,-5.75,-3.43
520 I02936,I02936,1.78,-4.8
521 I02937,I02937,16.28,-6.44
522 I02938,I02938,-7.52,-1.64
523 I02939,I02939,4.93,-4.43
524 I02940,I02940,16.15,-17.96
525 I02942,I02942,-1.5,-5.24
526 I02943,I02943,-6.59,-42.91
527 I02956,I02956,17.55,-17.45
528 I02962,I02962,7.65,-1.71
529 I02963,I02963,-3.34,-2.5
530 I02964,I02964,-3.9,-8.36
531 I02965,I02965,-2.98,-2.6
532 I02966,I02966,7.57,-15.29
533 I02967,I02967,1.59,-9.32
534 I02968,I02968,0.65,-14.37
535 I02969,I02969,0.99,-15.14
536 I02970,I02970,2.24,-9.63
537 I02998,I02998,13.08,-5.43
538 I03002,I03002,8.98,-3.18
539 I03003,I03003,3.76,-2.7
540 I03004,I03004,-11.79,-3.33
541 I03005,I03005,1.47,-3.5
542 I03007,I03007,-1.69,-7.74
543 I03008,I03008,1.72,-14.95
544 I03012,I03012,-6.88,-1.64
545 I03014,I03014,16.05,-18.02
546 I03015,I03015,12.27,-5.34
547 I03016,I03016,2.09,-2.59
